"","paper_title","journal","doi","Altmetric.score","policy","patent","feeds","news","posts","twitter","wiki","videos","accounts","fb","rh","rdts","googlep"
"1",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Rebuilding relationships on coral reefs: Coral bleaching knowledge-sharing to aid adaptation planning for reef users","BioEssays","10.1002/bies.202100048",17.6,0,0,0,0,33,26,0,1,27,0,0,0,0
"3","The Other Microeukaryotes of the Coral Reef Microbiome","Trends in Microbiology","10.1016/j.tim.2017.06.007",36.58,0,0,1,0,66,56,0,0,57,0,0,0,0
"4","A review of interventions proposed to abate impacts of ocean acidification on coral reefs","Regional Studies in Marine Science","10.1016/j.rsma.2019.100612",5.08,0,0,1,0,1,0,0,0,1,0,0,0,0
"5","Relationship between historical sea-surface temperature variability and climate change-induced coral mortality in the western Indian Ocean","Marine Pollution Bulletin","10.1016/j.marpolbul.2010.03.033",3,1,0,0,0,1,0,0,0,1,0,0,0,0
"6","Acanthaster planci is a major cause of coral mortality in Indonesia","Coral Reefs","10.1007/s00338-013-1025-1",5.016,0,0,1,0,1,0,0,0,1,0,0,0,0
"7","Coral adaptation to climate change: Meta-analysis reveals high heritability across multiple traits","Global Change Biology","10.1111/gcb.15829",70.15,0,0,1,4,66,44,0,0,51,2,0,0,0
"8","Climate change and coral reef bleaching: An ecological assessment of long-term impacts, recovery trends and future outlook","Estuarine Coastal & Shelf Science","10.1016/j.ecss.2008.09.003",179.042,6,0,6,15,44,5,6,1,39,0,0,0,0
"9","Evidence for multiple stressor interactions and effects on coral reefs","Global Change Biology","10.1111/gcb.12453",27.116,1,0,2,0,28,18,0,0,23,2,0,0,0
"10","Effects of solar ultraviolet radiation on coral reef organisms","Photochemical & Photobiological Sciences","10.1039/b902763g",40.5,0,0,0,5,6,1,0,0,6,0,0,0,0
"11","Unseen players shape benthic competition on coral reefs","Trends in Microbiology","10.1016/j.tim.2012.08.004",4.25,1,0,0,0,6,4,0,0,5,0,0,0,0
"12",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Evidence of Large-Scale Chronic Eutrophication in the Great Barrier Reef: Quantification of Chlorophyll a Thresholds for Sustaining Coral Reef Communities","Ambio: A Journal of the Human Environment","10.1007/s13280-013-0443-1",7,1,0,0,0,8,4,0,0,5,0,0,0,0
