key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-296973650,Cumulative impacts across {Australia}’s {Great} {Barrier} {Reef}: a mechanistic evaluation,2022,,,Ecological Monographs,129615,92,1,,"Bozec, Y.-M. and Hock, K. and Mason, R.A.B. and Baird, M.E. and Castro-Sanguino, C. and Condie, S.A. and Puotinen, M. and Thompson, A. and Mumby, P.J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121840308&doi=10.1002%2fecm.1494&partnerID=40&md5=089d2a51a70d5e1aee32c3452ce62f6c,English,,,"Cumulative impacts assessments on marine ecosystems have been hindered by the difficulty of collecting environmental data and identifying drivers of community dynamics beyond local scales. On coral reefs, an additional challenge is to disentangle the relative influence of multiple drivers that operate at different stages of coral ontogeny. We integrated coral life history, population dynamics, and spatially explicit environmental drivers to assess the relative and cumulative impacts of multiple stressors across 2,300 km of the world’s largest coral reef ecosystem, Australia’s Great Barrier Reef (GBR). Using literature data, we characterized relationships between coral life history processes (reproduction, larval dispersal, recruitment, growth, and mortality) and environmental variables. We then simulated coral demographics and stressor impacts at the organism (coral colony) level on {\textgreater}3,800 individual reefs linked by larval connectivity and exposed to temporally and spatially realistic regimes of acute (crown-of-thorns starfish outbreaks, cyclones, and mass coral bleaching) and chronic (water-quality) stressors. Model simulations produced a credible reconstruction of recent (2008–2020) coral trajectories consistent with monitoring observations, while estimating the impacts of each stressor at reef and regional scales. Overall, simulated coral populations declined by one-third across the GBR, from an average of 29\% to 19\% hard coral cover. By 2020, {\textless}20\% of the GBR had coral cover higher than 30\%, a status of reef health corroborated by scarce and sparsely distributed monitoring data. Reef-wide annual rates of coral mortality were driven by bleaching (48\%) ahead of cyclones (41\%) and starfish predation (11\%). Beyond the reconstructed status and trends, the model enabled the emergence of complex interactions that compound the effects of multiple stressors while promoting a mechanistic understanding of coral cover dynamics. Drivers of coral cover growth were identified; notably, water quality (suspended sediments) was estimated to delay recovery for at least 25\% of inshore reefs. Standardized rates of coral loss and recovery allowed the integration of all cumulative impacts to determine the equilibrium cover for each reef. This metric, combined with maps of impacts, recovery potential, water-quality thresholds, and reef state metrics, facilitates strategic spatial planning and resilience-based management across the GBR. © 2021 The Ecological Society of America.","Publisher: Ecological Society of America | RAYYAN-INCLUSION: {""Patrice""=>""Included"", ""Samantha""=>""Included""} | RAYYAN-LABELS: extracted,check full text",,Australia;bleaching;community dynamics;coral reef;Coral Sea;ecological impact;environmental impact assessment;Great Barrier Reef;life history;management practice;marine ecosystem;Queensland;spatial planning;water quality;heat stress;resilience;cyclones;coral populations;crown-of-thorns starfish;disturbances;individual-based model;spatial simulations;strategic management,,
rayyan-296973654,Reef {Metabolism} {Monitoring} {Methods} and {Potential} {Applications} for {Coral} {Restoration},2022,,,Environmental Management,0364152X,,,,"Platz, M.C. and Arias, M.E. and Byrne, R.H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124005558&doi=10.1007%2fs00267-022-01597-9&partnerID=40&md5=ce7b9be6bf8919a62a8ecd6724f14a43,English,,,"Coral reef metabolism measurements have been used by scientists for decades to track reef responses to the globe’s changing carbon budget and project shifts in reef function. Here, we propose that metabolism measurement tools and methods could also be used to monitor reef ecosystem change in response to coral restoration. This review paper provides a general introduction to net ecosystem metabolism and carbon chemistry for coral reef ecosystems, followed by a review of five metabolism monitoring methods with potential for application to coral reef restoration monitoring. Selected methodologies included those with measurement scales appropriate to assess outplant arrays and whole reef ecosystem outcomes associated with restoration interventions. Subsequently we discuss how water column and CO2 chemistry could be used to address coral restoration monitoring research gaps and scale up from biological, colony-level metrics to ecosystem-scale function and performance assessments. Such function-based measurements could potentially be used to inform several goal-based monitoring objectives highlighted in the Coral Reef Restoration Monitoring Guide. Lastly, this review discusses important methodological factors, such as scale, reef type, and flow environment, that should be considered when determining which metabolism monitoring technique would be most appropriate for a reef restoration project. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Publisher: Springer | RAYYAN-INCLUSION: {""Patrice""=>""Included"", ""Samantha""=>""Included""} | RAYYAN-LABELS: extracted",,Coral reef;Ecosystems;Alkalinity;Alkalinity anomaly;Biomineralization;Budget control;Carbon;Carbon budgets;Coral reef restoration;Ecosystem metabolism monitoring;Ecosystem metabolisms;Measurement tools;Metabolism;Monitoring;Monitoring methods;Net ecosystem calcification;Net ecosystem production;Reefs;Restoration,,
rayyan-296973655,A systematic review of artificial reefs as platforms for coral reef research and conservation,2022,,,PLoS ONE,19326203,17,1,,"Higgins, E. and Metaxas, A. and Scheibling, R.E.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123312337&doi=10.1371%2fjournal.pone.0261964&partnerID=40&md5=16686431fd6e6a26417fc0537247203a,English,,,"Artificial reefs (ARs) have been used on coral reefs for ecological research, conservation, and socio-cultural purposes since the 1980s. We examined spatio-temporal patterns in AR deployment in tropical and subtropical coral reefs (up to 35° latitude) and evaluated their efficacy in meeting conservation objectives, using a systematic review of the scientific literature. Most deployments (136 studies) were in the North Atlantic and Central Indo-Pacific in 1980s - 2000s, with a pronounced shift to the Western Indo-Pacific in 2010s. Use of ARs in reef restoration or stressor mitigation increased markedly in response to accelerating coral decline over the last 2 decades. Studies that evaluated success in meeting conservation objectives (n = 51) commonly reported increasing fish abundance (55\%), enhancing habitat quantity (31\%) or coral cover (27\%), and conserving target species (24\%). Other objectives included stressor mitigation (22\%), provision of coral nursery habitat (14\%) or source populations (2\%) and addressing socio-cultural and economic values (16\%). Fish (55\% of studies) and coral (53\%) were the most commonly monitored taxa. Success in achieving conservation objectives was reported in 33 studies. Success rates were highest for provision of nursery habitat and increasing coral cover (each 71\%). Increasing fish abundance or habitat quantity, mitigating environmental impacts, and attaining socio-cultural objectives were moderately successful (60-64\%); conservation of target species was the least successful (42\%). Failure in achieving objectives commonly was attributed to poor AR design or disruption by large-scale bleaching events. The scale of ARs generally was too small (m2 - 10s m2) to address regional losses in coral cover, and study duration too short ({\textless} 5 years) to adequately assess ecologically relevant trends in coral cover and community composition. ARs are mostly likely to aid in reef conservation and restoration by providing nursery habitat for target species or recruitment substrate for corals and other organisms. Promoting local socio-cultural values also has potential for regional or global impact by increasing awareness of coral reef decline, if prioritized and properly monitored. © 2022 Higgins et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Publisher: Public Library of Science | RAYYAN-INCLUSION: {""Patrice""=>""Included"", ""Samantha""=>""Included""} | RAYYAN-LABELS: extracted,CEESAT done,systematic review",,bleaching;coral reef;environmental impact;human;article;awareness;comparative effectiveness;coral;cultural value;drug efficacy;fish;habitat;latitude;nonhuman;nursery;review;scientific literature;systematic review;target organism,,
rayyan-296973683,Water quality thresholds for coastal contaminant impacts on corals: {A} systematic review and meta-analysis,2021,,,Science of the Total Environment,489697,794,,,"Nalley, E.M. and Tuttle, L.J. and Barkman, A.L. and Conklin, E.E. and Wulstein, D.M. and Richmond, R.H. and Donahue, M.J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110223478&doi=10.1016%2fj.scitotenv.2021.148632&partnerID=40&md5=2458c316f77e7c770e2d23d330db4467,English,,,"Reduced water quality degrades coral reefs, resulting in compromised ecosystem function and services to coastal communities. Increasing management capacity on reefs requires prioritization of the development of data-based water-quality thresholds and tipping points. To meet this urgent need of marine resource managers, we conducted a systematic review and meta-analysis that quantified the effects on scleractinian corals of chemical pollutants from land-based and atmospheric sources. We compiled a global dataset addressing the effects of these pollutants on coral growth, mortality, reproduction, physiology, and behavior. The resulting quantitative review of 55 articles includes information about industrial sources, modes of action, experimentally tested concentrations, and previously identified tolerance thresholds of corals to 13 metals, 18 pesticides, 5 polycyclic aromatic hydrocarbons (PAHs), a polychlorinated biphenyl (PCB), and a pharmaceutical. For data-rich contaminants, we make more robust threshold estimates by adapting models for Bayesian hierarchical meta-analysis that were originally developed for biopharmaceutical application. These models use information from multiple studies to characterize the dose-response relationships (i.e., Emax curves) between a pollutant's concentration and various measures of coral health. Metals used in antifouling paints, especially copper, have received a great deal of attention to-date, thus enabling us to estimate the cumulative impact of copper across coral's early life-history. The effects of other land-based pollutants on corals are comparatively understudied, which precludes more quantitative analysis. We discuss opportunities to improve future research so that it can be better integrated into quantitative assessments of the effects of more pollutant types on sublethal coral stress-responses. We also recommend that managers use this information to establish more conservative water quality thresholds that account for the synergistic effects of multiple pollutants on coral reefs. Ultimately, active remediation of local stressors will improve the resistance, resilience, and recovery of individual reefs and reef ecosystems facing the global threat of climate change. © 2021 Elsevier B.V.","Publisher: Elsevier B.V. | RAYYAN-INCLUSION: {""Patrice""=>""Included"", ""Samantha""=>""Included""} | RAYYAN-LABELS: extracted,CEESAT done,meta-analysis,systematic review",,Water quality;bleaching;coral reef;climate change;Climate change;Coral reef;Coral Reefs;ecosystem;Ecosystem;Ecosystems;environmental impact;Review;animal;Animals;Reefs;coral;nonhuman;systematic review;Information management;lead;Anthozoa;pollution effect;EC50;Cnidaria;1 methyl naphthalene;aluminum;Bayes theorem;Bayes Theorem;Bayesian analysis;Bayesian modelling;Bayesian network;Bayesian networks;benzo pyrene;cadmium;carbaril;chlorophyll;chlorpyrifos;coastal development;cobalt;concentration (parameter);copper;Copper;coral adult;coral gamete;coral juvenile;coral larva;data synthesis;Data synthesis;diuron;dose response;Dose response;dose-response relationship;Ecosystem functions;Ecosystem services;endosulfan;environmental management;fungicide;gallium;gamete;Impacts on corals;insecticide;iron;management;manganese;Marine biology;mercury;meta analysis;meta-analysis;Meta-analysis;metal;metamorphosis;naphthalene;nickel;PAH;PCB;permethrin;polychlorinated biphenyl;Polychlorinated biphenyls;polycyclic aromatic hydrocarbon;Polycyclic aromatic hydrocarbons;profenofos;Quality control;quantitative analysis;Scleractinia;Scleractinium;seashore;symbiont;symbiont density;Systematic Review;tin;unclassified drug;vanadium;water contamination;water quality;Water Quality;water quality threshold;zinc;Management;Bayesian model;Dose-response;Pollutant,,
rayyan-296973690,Intracellular bacterial symbionts in corals: {Challenges} and future directions,2021,,,Microorganisms,20762607,9,11,,"Maire, J. and Blackall, L.L. and van Oppen, M.J.H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117619434&doi=10.3390%2fmicroorganisms9112209&partnerID=40&md5=f3841c7b1c914f590f4a99855ef98ef9,English,,,"Corals are the main primary producers of coral reefs and build the three-dimensional reef structure that provides habitat to more than 25\% of all marine eukaryotes. They harbor a complex consortium of microorganisms, including bacteria, archaea, fungi, viruses, and protists, which they rely on for their survival. The symbiosis between corals and bacteria is poorly studied, and their symbiotic relationships with intracellular bacteria are only just beginning to be acknowledged. In this review, we emphasize the importance of characterizing intracellular bacteria associated with corals and explore how successful approaches used to study such microorganisms in other systems could be adapted for research on corals. We propose a framework for the description, identification, and functional characterization of coral-associated intracellular bacterial symbionts. Finally, we highlight the possible value of intracellular bacteria in microbiome manipulation and mitigating coral bleaching. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Publisher: MDPI | RAYYAN-INCLUSION: {""Patrice""=>""Included"", ""Samantha""=>""Included""} | RAYYAN-LABELS: extracted",,coral;symbiosis;bacteria;intracellular,,
rayyan-296973692,Six priorities to advance the science and practice of coral reef restoration worldwide,2021,,,Restoration Ecology,10612971,29,8,,"Vardi, T. and Hoot, W.C. and Levy, J. and Shaver, E. and Winters, R.S. and Banaszak, A.T. and Baums, I.B. and Chamberl and , V.F. and Cook, N. and Gulko, D. and Hein, M.Y. and Kaufman, L. and Loewe, M. and Lundgren, P. and Lustic, C. and MacGowan, P. and Matz, M.V. and McGonigle, M. and McLeod, I. and Moore, J. and Moore, T. and Pivard, S. and Pollock, F.J. and Rinkevich, B. and Suggett, D.J. and Suleiman, S. and Viehman, T.S. and Villalobos, T. and Weis, V.M. and Wolke, C. and Montoya-Maya, P.H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115182845&doi=10.1111%2frec.13498&partnerID=40&md5=09f7f2c7f0d213bba1afd57b13f744ed,English,,,"Coral reef restoration is a rapidly growing movement galvanized by the accelerating degradation of the world's tropical coral reefs. The need for concerted and collaborative action focused on the recovery of coral reef ecosystems coalesced in the creation of the Coral Restoration Consortium (CRC) in 2017. In March 2020, the CRC leadership team met for a biennial review of international coral reef restoration efforts and a discussion of perceived knowledge and implementation bottlenecks that may impair scalability and efficacy. Herein we present six priorities wherein the CRC will foster scientific advancement and collaboration to: (1) increase restoration efficiency, focusing on scale and cost-effectiveness of deployment; (2) scale up larval-based coral restoration efforts, emphasizing recruit health, growth, and survival; (3) ensure restoration of threatened coral species proceeds within a population-genetics management context; (4) support a holistic approach to coral reef ecosystem restoration; (5) develop and promote the use of standardized terms and metrics for coral reef restoration; and (6) support coral reef restoration practitioners working in diverse geographic locations. These priorities are not exhaustive nor do we imply that accomplishing these tasks alone will be sufficient to restore coral reefs globally; rather these are topics where we feel the CRC community of practice can make timely and significant contributions to facilitate the growth of coral reef restoration as a practical conservation strategy. The goal for these collective actions is to provide tangible, local-scale advancements in reef condition that offset declines resulting from local and global stressors including climate change. © 2021 The Authors. Restoration Ecology published by Wiley Periodicals LLC on behalf of Society for Ecological Restoration.","Publisher: John Wiley and Sons Inc | RAYYAN-INCLUSION: {""Patrice""=>""Included"", ""Samantha""=>""Included""} | RAYYAN-LABELS: extracted",,coral reef;Anthozoa;conservation management;environmental degradation;holistic approach;population genetics;prioritization;restoration ecology;coral restoration;coral reefs;reefs;corals;restoration;coral interventions,,
rayyan-296973693,Coral adaptation to climate change: {Meta}-analysis reveals high heritability across multiple traits,2021,,,Global Change Biology,13541013,27,22,5694--5710,"Bairos-Novak, K.R. and Hoogenboom, M.O. and van Oppen, M.J.H. and Connolly, S.R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114311253&doi=10.1111%2fgcb.15829&partnerID=40&md5=5b985affb2614af2648b3f53d7914496,English,,,"Anthropogenic climate change is a rapidly intensifying selection pressure on biodiversity across the globe and, particularly, on the world's coral reefs. The rate of adaptation to climate change is proportional to the amount of phenotypic variation that can be inherited by subsequent generations (i.e., narrow-sense heritability, h2). Thus, traits that have higher heritability (e.g., h2 \&gt; 0.5) are likely to adapt to future conditions faster than traits with lower heritability (e.g., h2 \&lt; 0.1). Here, we synthesize 95 heritability estimates across 19 species of reef-building corals. Our meta-analysis reveals low heritability (h2 \&lt; 0.25) of gene expression metrics, intermediate heritability (h2 = 0.25–0.50) of photochemistry, growth, and bleaching, and high heritability (h2 \&gt; 0.50) for metrics related to survival and immune responses. Some of these values are higher than typically observed in other taxa, such as survival and growth, while others were more comparable, such as gene expression and photochemistry. There was no detectable effect of temperature on heritability, but narrow-sense heritability estimates were generally lower than broad-sense estimates, indicative of significant non-additive genetic variation across traits. Trait heritability also varied depending on coral life stage, with bleaching and growth in juveniles generally having lower heritability compared to bleaching and growth in larvae and adults. These differences may be the result of previous stabilizing selection on juveniles or may be due to constrained evolution resulting from genetic trade-offs or genetic correlations between growth and thermotolerance. While we find no evidence that heritability decreases under temperature stress, explicit tests of the heritability of thermal tolerance itself—such as coral thermal reaction norm shape—are lacking. Nevertheless, our findings overall reveal high trait heritability for the majority of coral traits, suggesting corals may have a greater potential to adapt to climate change than has been assumed in recent evolutionary models. © 2021 John Wiley \& Sons Ltd.","Publisher: John Wiley and Sons Inc | RAYYAN-INCLUSION: {""Patrice""=>""Included"", ""Samantha""=>""Included""} | RAYYAN-LABELS: extracted,check full text",,coral reef;climate change;Climate Change;Coral Reefs;animal;Animals;genetics;Anthozoa;meta analysis;meta-analysis;Scleractinia;acclimatization;Acclimatization;adaptation;Adaptation;heritability;natural selection;Physiological;temperature tolerance;animal model;evolution;Breeder's equation;scleractinia;thermal tolerance,,
rayyan-296973695,Similarities and {Differences} {Between} {Two} {Deadly} {Caribbean} {Coral} {Diseases}: {White} {Plague} and {Stony} {Coral} {Tissue} {Loss} {Disease},2021,,,Frontiers in Marine Science,22967745,8,,,"Cróquer, A. and Weil, E. and Rogers, C.S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118357544&doi=10.3389%2ffmars.2021.709544&partnerID=40&md5=4555bb0208cc2830d484de62b311c995,English,,,"For several decades, white plagues (WPDs: WPD-I, II and III) and more recently, stony coral tissue loss disease (SCTLD) have significantly impacted Caribbean corals. These diseases are often difficult to separate in the field as they produce similar gross signs. Here we aimed to compare what we know about WPD and SCTLD in terms of: (1) pathology, (2) etiology, and (3) epizootiology. We reviewed over 114 peer-reviewed publications from 1973 to 2021. Overall, WPD and SCTLD resemble each other macroscopically, mainly due to the rapid tissue loss they produce in their hosts, however, SCTLD has a more concise case definition. Multiple-coalescent lesions are often observed in colonies with SCTLD and rarely in WPD. A unique diagnostic sign of SCTLD is the presence of bleached circular areas when SCTLD lesions are first appearing in the colony. The paucity of histopathologic archives for WPDs for multiple species across geographies makes it impossible to tell if WPD is the same as SCTLD. Both diseases alter the coral microbiome. WPD is controversially regarded as a bacterial infection and more recently a viral infection, whereas for SCTLD the etiology has not been identified, but the putative pathogen, likely to be a virus, has not been confirmed yet. Most striking differences between WPD and SCTLD have been related to duration and phases of epizootic events and mortality rates. While both diseases may become highly prevalent on reefs, SCTLD seems to be more persistent even throughout years. Both transmit directly (contact) and horizontally (waterborne), but organism-mediated transmission is only proven for WPD-II. Given the differences and similarities between these diseases, more detailed information is needed for a better comparison. Specifically, it is important to focus on: (1) tagging colonies to look at disease progression and tissue mortality rates, (2) tracking the fate of the epizootic event by looking at initial coral species affected, the features of lesions and how they spread over colonies and to a wider range of hosts, (3) persistence across years, and (4) repetitive sampling to look at changes in the microbiome as the disease progresses. Our review shows that WPDs and SCTLD are the major causes of coral tissue loss recorded in the Caribbean. © Copyright © 2021 Cróquer, Weil and Rogers.","Publisher: Frontiers Media S.A. | RAYYAN-INCLUSION: {""Patrice""=>""Included"", ""Samantha""=>""Included""} | RAYYAN-LABELS: extracted",,pathology;stony coral tissue loss disease;coral disease;epizootiology;white plague;white plague type II;Caribbean Region,,
rayyan-296973703,"Impacts of heat stress on soft corals, an overlooked and highly vulnerable component of coral reef ecosystems, at a central equatorial {Pacific} atoll",2021,,,Biological Conservation,63207,262,,,"Maucieri, D.G. and Baum, J.K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115188368&doi=10.1016%2fj.biocon.2021.109328&partnerID=40&md5=414cda61f29e364bf6f619017a8714ea,English,,,"Climate change threatens coral reefs, with recent heatwaves causing widespread coral bleaching and mortality. Soft corals (order Alcyonacea) provide reef structure and habitat, but most reef research has instead focused on reef-building hard corals (order Scleractinia). Reviewing the primary literature documenting the effects of recent (2014–2020) marine heatwaves on corals, a period including the third global coral bleaching event, we found that only 20\% (19/94) of studies presented any results of heat stress effects on soft corals, and even fewer (5\%) presented taxonomic-specific results, highlighting the need for further study. Using images (n = 6265) collected on 16 expeditions to the world's largest atoll (Kiritimati; central equatorial Pacific) between 2007 and 2019, we quantified soft coral cover around the atoll's shallow (10-12 m depth) forereefs before and after a prolonged heatwave (the 2015/2016 El Niño). Prior to the heatwave, soft coral accounted for 3.0\% of the benthic community, with greater cover at more sheltered sites with lower net primary productivity; Lobophytum and Sinularia were the most common genera. We documented a complete loss of soft coral after the heatwave within our sites. New soft corals were detected in 2019, three years after the heatwave. Photos of individual colonies tracked over time revealed that soft coral structures can persist for several years post-mortality, and hard corals can recruit onto these structures. Our study exposes the vulnerability of soft corals to heat stress, which has received scant previous documentation. Future studies examining the effects of heatwaves on coral bleaching and mortality should include soft corals. © 2021 Elsevier Ltd","Publisher: Elsevier Ltd | RAYYAN-INCLUSION: {""Patrice""=>""Included"", ""Samantha""=>""Included""} | RAYYAN-LABELS: extracted,check full text",,coral reef;ecological impact;marine ecosystem;Climate change;coral;Anthozoa;heat wave;Marine heatwave;Pacific Ocean;Coral;Scleractinia;coral bleaching;Alcyonacea;atoll;Kiribati;Kiritimati;Line Islands;Lobophytum;mortality;net primary production;Pacific Ocean (Equatorial);Sinularia;vulnerability;Bleaching;El Nino;Mortality;Soft coral;Octocoralia;Hot Temperature,,
rayyan-296973707,Considering {Commercial} {Vessels} as {Potential} {Vectors} of {Stony} {Coral} {Tissue} {Loss} {Disease},2021,,,Frontiers in Marine Science,22967745,8,,,"Rosenau, N.A. and Gignoux-Wolfsohn, S. and Everett, R.A. and Miller, A.W. and Minton, M.S. and Ruiz, G.M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116501716&doi=10.3389%2ffmars.2021.709764&partnerID=40&md5=5f5d98e127ff7fad74530102fdeeebf7,English,,,"Stony coral tissue loss disease (SCTLD) is a troubling new disease that is spreading rapidly across the greater Caribbean region, but the etiological agent(s) and the mechanisms(s) of spread are both unknown. First detected off the coast of Miami, Florida, major ocean currents alone do not explain the pattern of spread, with outbreaks occurring across geographically disjunct and distant locations. This has raised concerns by researchers and resource managers that commercial vessels may contribute as vectors to spread of the disease. Despite existing regulatory and management strategies intended to limit coastal marine invasion risks, the efficacy of these measures is still unresolved for ship-borne microorganisms, and disease transport via ballast water and hull biofouling are under examination given the high ship traffic in the region. Here, to help inform the discussion of ships as possible vectors of SCTLD, we provide an overview of the current state of knowledge about ships and their potential to transfer organisms in the greater Caribbean, focusing in particular on ballast water, and outline a set of recommendations for future research. © Copyright © 2021 Rosenau, Gignoux-Wolfsohn, Everett, Miller, Minton and Ruiz.","Publisher: Frontiers Media S.A. | RAYYAN-INCLUSION: {""Patrice""=>""Included"", ""Samantha""=>""Included""} | RAYYAN-LABELS: extracted",,stony coral tissue loss disease;Caribbean;biofouling;ballast water;vector of stony coral tissue loss disease;vessel discharge regulations,,
