Journal name,JCR Abbreviation,ISSN,eISSN,Category,2021 JIF
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,1471-0072,1471-0080,CELL BIOLOGY - SCIE,113.915
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,1474-1776,1474-1784,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,112.288
NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,1474-1733,1474-1741,IMMUNOLOGY - SCIE,108.555
NATURE MEDICINE,NAT MED,1078-8956,1546-170X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,87.244
Lancet Microbe,LANCET MICROBE,N/A,2666-5247,INFECTIOUS DISEASES - SCIE; MICROBIOLOGY - SCIE,86.208
NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,1740-1526,1740-1534,MICROBIOLOGY - SCIE,78.297
CHEMICAL REVIEWS,CHEM REV,0009-2665,1520-6890,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",72.087
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,1473-3099,1474-4457,INFECTIOUS DISEASES - SCIE,71.421
NATURE,NATURE,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES - SCIE,69.504
NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,1087-0156,1546-1696,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,68.164
CELL,CELL,0092-8674,1097-4172,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,66.85
SCIENCE,SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES - SCIE,63.832
CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,0306-0012,1460-4744,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",60.615
CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,0893-8512,1098-6618,MICROBIOLOGY - SCIE,50.129
PHYSIOLOGICAL REVIEWS,PHYSIOL REV,0031-9333,1522-1210,PHYSIOLOGY - SCIE,46.513
